Corriente (A)	Voltaje_Rigol (V)	Campo_Gaussimetro (T)
0.0	-0.020466701	+05.1700E-03
0.01019607843137255	-0.019922243	+07.5310E-03
0.0203921568627451	-0.0193937511	+09.8590E-03
0.03058823529411765	-0.0188292478	+12.2770E-03
0.0407843137254902	-0.0182641187	+14.7540E-03
0.050980392156862744	-0.0176821964	+17.2710E-03
0.0611764705882353	-0.0170949824	+19.8260E-03
0.07137254901960785	-0.0164971119	+22.4160E-03
0.0815686274509804	-0.0159025494	+25.0000E-03
0.09176470588235294	-0.0152930992	+27.6440E-03
0.10196078431372549	-0.0146779888	+030.300E-03
0.11215686274509805	-0.0140568092	+033.000E-03
0.1223529411764706	-0.0134392441	+035.710E-03
0.13254901960784315	-0.0128736532	+038.150E-03
0.1427450980392157	-0.0122406787	+040.900E-03
0.15294117647058825	-0.0116063241	+043.660E-03
0.1631372549019608	-0.0109706053	+046.410E-03
0.17333333333333334	-0.0103279185	+049.210E-03
0.18352941176470589	-0.00968448177	+052.010E-03
0.19372549019607843	-0.00903972358	+054.820E-03
0.20392156862745098	-0.00839182644	+057.630E-03
0.21411764705882355	-0.00774432783	+060.440E-03
0.2243137254901961	-0.00708838072	+063.260E-03
0.23450980392156864	-0.00644259137	+066.080E-03
0.2447058823529412	-0.00580940333	+068.850E-03
0.25490196078431376	-0.00516181334	+071.640E-03
0.2650980392156863	-0.00383184524	+077.420E-03
0.27529411764705886	-0.00323563775	+080.000E-03
0.2854901960784314	-0.00259274389	+082.770E-03
0.29568627450980395	-0.00196296428	+085.530E-03
0.3058823529411765	-0.00132408317	+088.290E-03
0.31607843137254904	-0.000702962561	+091.000E-03
0.3262745098039216	-6.79861577e-05	+093.750E-03
0.33647058823529413	0.000565521024	+096.480E-03
0.3466666666666667	0.00118993095	+099.210E-03
0.3568627450980392	0.0018164187	+101.930E-03
0.36705882352941177	0.00244982745	+104.650E-03
0.3772549019607843	0.00306920572	+107.360E-03
0.38745098039215686	0.00368965811	+110.060E-03
0.3976470588235294	0.0043065441	+112.720E-03
0.40784313725490196	0.00486963047	+115.150E-03
0.41803921568627456	0.00549061627	+117.850E-03
0.4282352941176471	0.00610682686	+120.540E-03
0.43843137254901965	0.0067242395	+123.220E-03
0.4486274509803922	0.00734558944	+125.900E-03
0.45882352941176474	0.00795509806	+128.560E-03
0.4690196078431373	0.00857251365	+131.230E-03
0.47921568627450983	0.00917374226	+133.840E-03
0.4894117647058824	0.00979198023	+136.510E-03
0.4996078431372549	0.0104005915	+139.160E-03
0.5098039215686275	0.0110092078	+141.790E-03
0.52	0.011622188	+144.430E-03
0.52	0.0116192672	+144.430E-03
0.5098039215686274	0.0111642948	+142.480E-03
0.4996078431372549	0.010691951	+140.410E-03
0.4894117647058824	0.0102014242	+138.260E-03
0.47921568627450983	0.00968854296	+136.030E-03
0.4690196078431373	0.00916925646	+133.800E-03
0.45882352941176474	0.00863437208	+131.480E-03
0.44862745098039214	0.00809601677	+129.130E-03
0.43843137254901965	0.00753902528	+126.730E-03
0.42823529411764705	0.00698518541	+124.320E-03
0.41803921568627456	0.00642399484	+121.870E-03
0.40784313725490196	0.00585236207	+119.400E-03
0.3976470588235294	0.00532540498	+117.120E-03
0.38745098039215686	0.00475467145	+114.640E-03
0.3772549019607843	0.00417322937	+112.090E-03
0.36705882352941177	0.00358153051	+109.520E-03
0.3568627450980392	0.00297971786	+106.930E-03
0.3466666666666667	0.00237911378	+104.320E-03
0.33647058823529413	0.00176995825	+101.690E-03
0.3262745098039216	0.00116903218	+099.050E-03
0.31607843137254904	0.000557025314	+096.390E-03
0.3058823529411765	-5.46384546e-05	+093.750E-03
0.2956862745098039	-0.000676548725	+091.070E-03
0.2854901960784314	-0.00130439363	+088.350E-03
0.2752941176470588	-0.00192547363	+085.630E-03
0.26509803921568625	-0.00255727815	+082.890E-03
0.2549019607843137	-0.00387233216	+077.190E-03
0.24470588235294116	-0.00446606127	+074.600E-03
0.23450980392156862	-0.005103332	+071.830E-03
0.22431372549019607	-0.0057560722	+069.030E-03
0.21411764705882352	-0.00640066826	+066.220E-03
0.20392156862745098	-0.00705532519	+063.380E-03
0.19372549019607843	-0.00770948938	+060.540E-03
0.18352941176470589	-0.00836752561	+057.690E-03
0.17333333333333334	-0.00902729153	+054.810E-03
0.1631372549019608	-0.00968839917	+051.940E-03
0.15294117647058825	-0.0103466957	+049.100E-03
0.1427450980392157	-0.0110096452	+046.210E-03
0.13254901960784315	-0.0116102937	+043.600E-03
0.12235294117647061	-0.0122782038	+040.700E-03
0.11215686274509806	-0.0129504253	+037.790E-03
0.10196078431372546	-0.0136214419	+034.880E-03
0.09176470588235291	-0.0142921155	+031.970E-03
0.08156862745098037	-0.0149590718	+029.050E-03
0.07137254901960782	-0.0156238789	+026.190E-03
0.06117647058823528	-0.0162913578	+023.250E-03
0.05098039215686273	-0.0169658178	+020.330E-03
0.040784313725490184	-0.0176398786	+17.4160E-03
0.03058823529411764	-0.0183108417	+14.4860E-03
0.020392156862745092	-0.0189890012	+11.5450E-03
0.01019607843137249	-0.0196670462	+08.6120E-03
0.0	-0.0203781629	+05.5230E-03
