Corriente (A)	Voltaje_Rigol (V)	Campo_Gaussimetro (T)
0.0	-0.0227157829	-04.8360E-03
0.0208	-0.0237721398	-09.4390E-03
0.0416	-0.0249082133	-14.3490E-03
0.0624	-0.0261031241	-19.5300E-03
0.0832	-0.0272903906	-24.6760E-03
0.104	-0.0285074069	-29.9250E-03
0.1248	-0.0297426542	-035.310E-03
0.1456	-0.0316227154	-043.460E-03
0.1664	-0.0328544495	-048.780E-03
0.18719999999999998	-0.0341389875	-054.380E-03
0.208	-0.0353995944	-059.930E-03
0.2288	-0.0367111288	-065.460E-03
0.2496	-0.0379692176	-070.960E-03
0.2704	-0.0392489954	-076.460E-03
0.2912	-0.0405139202	-081.940E-03
0.312	-0.0417801499	-087.430E-03
0.3328	-0.0430351129	-092.860E-03
0.35359999999999997	-0.0442976151	-098.300E-03
0.37439999999999996	-0.0455434369	-103.750E-03
0.3952	-0.0474081797	-111.740E-03
0.416	-0.0486216777	-116.980E-03
0.43679999999999997	-0.0498743593	-122.400E-03
0.4576	-0.0511157859	-127.770E-03
0.4784	-0.0523495466	-133.110E-03
0.4992	-0.0536080001	-138.500E-03
0.52	-0.0548613142	-143.930E-03
0.52	-0.0548684659	-143.940E-03
0.49920000000000003	-0.053911836	-139.800E-03
0.47840000000000005	-0.05288288	-135.360E-03
0.4576	-0.0518183697	-130.770E-03
0.4368	-0.0507185671	-126.000E-03
0.41600000000000004	-0.0495901716	-121.120E-03
0.3952	-0.048490628	-116.360E-03
0.3744	-0.0467057659	-108.630E-03
0.3536	-0.0455365449	-103.560E-03
0.33280000000000004	-0.044314897	-098.280E-03
0.31200000000000006	-0.0430901659	-093.000E-03
0.2912	-0.0418387991	-087.580E-03
0.27040000000000003	-0.0405877059	-082.170E-03
0.24960000000000004	-0.0393181214	-076.660E-03
0.2288	-0.0380434335	-071.150E-03
0.20800000000000002	-0.0367450316	-065.540E-03
0.18720000000000003	-0.0354377714	-059.890E-03
0.16640000000000005	-0.0341216177	-054.200E-03
0.14560000000000006	-0.0327980324	-048.500E-03
0.12480000000000002	-0.0308376477	-039.960E-03
0.10400000000000004	-0.029531483	-034.320E-03
0.08320000000000005	-0.0281873756	-028.490E-03
0.06240000000000001	-0.0268479818	-022.700E-03
0.041600000000000026	-0.0254979971	-16.8550E-03
0.02080000000000004	-0.0241458931	-10.9800E-03
0.0	-0.0227565346	-04.9820E-03
