Corriente (A)	Voltaje_Rigol (V)	Campo_Gaussimetro (T)
0.0	-0.0204815757	+04.8580E-03
0.0208	-0.0219344238	-1.44150E-03
0.0416	-0.0233041858	-07.3770E-03
0.0624	-0.0246780094	-13.3220E-03
0.0832	-0.0260393897	-19.2360E-03
0.104	-0.0274174221	-25.1620E-03
0.1248	-0.0287870872	-031.090E-03
0.1456	-0.0308086732	-039.810E-03
0.1664	-0.032126813	-045.510E-03
0.18719999999999998	-0.0335048987	-051.460E-03
0.208	-0.0348144372	-057.160E-03
0.2288	-0.0361614349	-062.980E-03
0.2496	-0.0374906395	-068.750E-03
0.2704	-0.0388677906	-074.640E-03
0.2912	-0.0401595074	-080.270E-03
0.312	-0.0414867132	-086.020E-03
0.3328	-0.0427970932	-091.680E-03
0.35359999999999997	-0.0441152685	-097.340E-03
0.37439999999999996	-0.0454208737	-103.010E-03
0.3952	-0.0473302794	-111.250E-03
0.416	-0.0485843594	-116.680E-03
0.43679999999999997	-0.0498913192	-122.310E-03
0.4576	-0.0511458428	-127.740E-03
0.4784	-0.052413229	-133.200E-03
0.4992	-0.0536680918	-138.620E-03
0.52	-0.0549296183	-144.070E-03
0.52	-0.0549243857	-144.060E-03
0.49920000000000003	-0.0539684979	-139.920E-03
0.47840000000000005	-0.05293715	-135.460E-03
0.4576	-0.0518661981	-130.850E-03
0.4368	-0.0507643386	-126.070E-03
0.41600000000000004	-0.0496261874	-121.170E-03
0.3952	-0.0485254472	-116.380E-03
0.3744	-0.0467394973	-108.620E-03
0.3536	-0.0455622149	-103.560E-03
0.33280000000000004	-0.0443386466	-098.260E-03
0.31200000000000006	-0.0431115575	-092.950E-03
0.2912	-0.0418623258	-087.550E-03
0.27040000000000003	-0.0405980317	-082.090E-03
0.24960000000000004	-0.0393209106	-076.570E-03
0.2288	-0.0380447342	-071.050E-03
0.20800000000000002	-0.0367516261	-065.450E-03
0.18720000000000003	-0.0354545968	-059.790E-03
0.16640000000000005	-0.0341332634	-054.090E-03
0.14560000000000006	-0.0328071174	-048.360E-03
0.12480000000000002	-0.0307855288	-039.610E-03
0.10400000000000004	-0.0295327871	-034.190E-03
0.08320000000000005	-0.0281813941	-028.330E-03
0.06240000000000001	-0.0268378502	-022.530E-03
0.041600000000000026	-0.0254919044	-16.6740E-03
0.02080000000000004	-0.0241300201	-10.7990E-03
0.0	-0.0227458734	-04.7840E-03
