Corriente (A)	Voltaje_Rigol (V)	Campo_Gaussimetro (T)
0.0	-0.0203680182	+05.5390E-03
0.01019607843137255	-0.0198473984	+07.8050E-03
0.0203921568627451	-0.0193174487	+10.1070E-03
0.03058823529411765	-0.0187724086	+12.5040E-03
0.0407843137254902	-0.0181988412	+14.9580E-03
0.050980392156862744	-0.0176179035	+17.4650E-03
0.0611764705882353	-0.0170375872	+20.0130E-03
0.07137254901960785	-0.0164421374	+22.5870E-03
0.0815686274509804	-0.0158566226	+25.1560E-03
0.09176470588235294	-0.0152514269	+27.7860E-03
0.10196078431372549	-0.014639882	+030.430E-03
0.11215686274509805	-0.014014248	+033.130E-03
0.1223529411764706	-0.0133915357	+035.830E-03
0.13254901960784315	-0.0128298041	+038.270E-03
0.1427450980392157	-0.0121994737	+041.020E-03
0.15294117647058825	-0.0115684412	+043.770E-03
0.1631372549019608	-0.0109361483	+046.510E-03
0.17333333333333334	-0.0102895305	+049.300E-03
0.18352941176470589	-0.00964685833	+052.100E-03
0.19372549019607843	-0.00900116902	+054.900E-03
0.20392156862745098	-0.00835251731	+057.700E-03
0.21411764705882355	-0.00770430909	+060.510E-03
0.2243137254901961	-0.00705871544	+063.310E-03
0.23450980392156864	-0.00640976319	+066.120E-03
0.2447058823529412	-0.00577295296	+068.880E-03
0.25490196078431376	-0.00513192668	+071.670E-03
0.2650980392156863	-0.00380457394	+077.400E-03
0.27529411764705886	-0.00321479866	+079.990E-03
0.2854901960784314	-0.00257091646	+082.760E-03
0.29568627450980395	-0.00194099714	+085.520E-03
0.3058823529411765	-0.00130175495	+088.260E-03
0.31607843137254904	-0.000678268677	+090.970E-03
0.3262745098039216	-5.28897361e-05	+093.700E-03
0.33647058823529413	0.000583831018	+096.430E-03
0.3466666666666667	0.00120217185	+099.140E-03
0.3568627450980392	0.00183896332	+101.870E-03
0.36705882352941177	0.00245376911	+104.580E-03
0.3772549019607843	0.00308667059	+107.290E-03
0.38745098039215686	0.00370425591	+109.980E-03
0.3976470588235294	0.00431703955	+112.630E-03
0.40784313725490196	0.00488346609	+115.070E-03
0.41803921568627456	0.00549639126	+117.770E-03
0.4282352941176471	0.00612329721	+120.450E-03
0.43843137254901965	0.00674301495	+123.130E-03
0.4486274509803922	0.00736323848	+125.810E-03
0.45882352941176474	0.00797956359	+128.460E-03
0.4690196078431373	0.00859509484	+131.130E-03
0.47921568627450983	0.00919018215	+133.740E-03
0.4894117647058824	0.00980828582	+136.400E-03
0.4996078431372549	0.0104205332	+139.040E-03
0.5098039215686275	0.0110213482	+141.660E-03
0.52	0.0116319056	+144.290E-03
0.52	0.0116330207	+144.290E-03
0.5098039215686274	0.0111804606	+142.340E-03
0.4996078431372549	0.010709459	+140.280E-03
0.4894117647058824	0.0102173873	+138.120E-03
0.47921568627450983	0.00970609652	+135.910E-03
0.4690196078431373	0.00918724904	+133.670E-03
0.45882352941176474	0.00864752302	+131.360E-03
0.44862745098039214	0.00809578543	+129.010E-03
0.43843137254901965	0.00755060053	+126.620E-03
0.42823529411764705	0.00699853588	+124.210E-03
0.41803921568627456	0.00642513039	+121.750E-03
0.40784313725490196	0.00585714048	+119.280E-03
0.3976470588235294	0.00531795252	+116.980E-03
0.38745098039215686	0.00475783033	+114.520E-03
0.3772549019607843	0.00416749464	+111.980E-03
0.36705882352941177	0.00357830679	+109.420E-03
0.3568627450980392	0.00298237771	+106.830E-03
0.3466666666666667	0.00237261083	+104.220E-03
0.33647058823529413	0.00177265072	+101.600E-03
0.3262745098039216	0.00115671999	+098.960E-03
0.31607843137254904	0.000549668955	+096.300E-03
0.3058823529411765	-5.45790581e-05	+093.670E-03
0.2956862745098039	-0.000673533767	+090.980E-03
0.2854901960784314	-0.0013001028	+088.270E-03
0.2752941176470588	-0.00192994434	+085.550E-03
0.26509803921568625	-0.00256262462	+082.810E-03
0.2549019607843137	-0.00387997124	+077.130E-03
0.24470588235294116	-0.00447286384	+074.530E-03
0.23450980392156862	-0.00510978616	+071.760E-03
0.22431372549019607	-0.00575552479	+068.980E-03
0.21411764705882352	-0.00640792342	+066.150E-03
0.20392156862745098	-0.00705799953	+063.330E-03
0.19372549019607843	-0.00771962115	+060.480E-03
0.18352941176470589	-0.00837149633	+057.640E-03
0.17333333333333334	-0.00903137722	+054.760E-03
0.1631372549019608	-0.00969640867	+051.890E-03
0.15294117647058825	-0.0103493443	+049.050E-03
0.1427450980392157	-0.011013745	+046.170E-03
0.13254901960784315	-0.0116674071	+043.340E-03
0.12235294117647061	-0.0122859335	+040.660E-03
0.11215686274509806	-0.0129571075	+037.740E-03
0.10196078431372546	-0.0136307481	+034.830E-03
0.09176470588235291	-0.0143012698	+031.910E-03
0.08156862745098037	-0.0149746143	+028.990E-03
0.07137254901960782	-0.0156389321	+026.120E-03
0.06117647058823528	-0.0163071434	+023.190E-03
0.05098039215686273	-0.0169873434	+020.270E-03
0.040784313725490184	-0.0176573029	+17.3700E-03
0.03058823529411764	-0.0183245277	+14.4540E-03
0.020392156862745092	-0.0189984626	+11.5370E-03
0.01019607843137249	-0.0196677255	+08.6190E-03
0.0	-0.0203734236	+05.5500E-03
