Corriente (A)	Voltaje_Rigol (V)	Campo_Gaussimetro (T)
0.0	-0.0227436655	-04.9820E-03
0.0208	-0.0213220983	+1.22950E-03
0.0416	-0.0199531973	+07.1650E-03
0.0624	-0.0185774441	+13.1140E-03
0.0832	-0.0172132938	+19.0210E-03
0.104	-0.0158505228	+24.9500E-03
0.1248	-0.0144861424	+030.840E-03
0.1456	-0.0124622249	+039.580E-03
0.1664	-0.0111340331	+045.310E-03
0.18719999999999998	-0.00978613469	+051.140E-03
0.208	-0.0084407834	+056.970E-03
0.2288	-0.00709332778	+062.790E-03
0.2496	-0.00575558217	+068.570E-03
0.2704	-0.00442191039	+074.360E-03
0.2912	-0.00307822866	+080.160E-03
0.312	-0.00175875856	+085.870E-03
0.3328	-0.00045527124	+091.490E-03
0.35359999999999997	0.000861835554	+097.180E-03
0.37439999999999996	0.00217258961	+102.850E-03
0.3952	0.00408566556	+111.100E-03
0.416	0.00535276278	+116.580E-03
0.43679999999999997	0.00662489915	+122.110E-03
0.4576	0.00788843731	+127.590E-03
0.4784	0.00915511681	+133.050E-03
0.4992	0.0104351603	+138.530E-03
0.52	0.0116758809	+143.940E-03
0.52	0.0116808742	+143.940E-03
0.49920000000000003	0.0107293988	+139.810E-03
0.47840000000000005	0.00969468987	+135.360E-03
0.4576	0.00863709073	+130.770E-03
0.4368	0.00753156915	+126.000E-03
0.41600000000000004	0.0064050724	+121.100E-03
0.3952	0.00530307171	+116.340E-03
0.3744	0.00350065417	+108.570E-03
0.3536	0.00233203113	+103.500E-03
0.33280000000000004	0.00111088038	+098.220E-03
0.31200000000000006	-0.000108221694	+092.930E-03
0.2912	-0.00135744209	+087.580E-03
0.27040000000000003	-0.00262648982	+082.070E-03
0.24960000000000004	-0.00389053189	+076.590E-03
0.2288	-0.00517337549	+071.070E-03
0.20800000000000002	-0.00646905179	+065.460E-03
0.18720000000000003	-0.00777156792	+059.800E-03
0.16640000000000005	-0.00908625978	+054.130E-03
0.14560000000000006	-0.0103938314	+048.480E-03
0.12480000000000002	-0.0123613499	+039.960E-03
0.10400000000000004	-0.0137043906	+034.170E-03
0.08320000000000005	-0.0150477828	+028.350E-03
0.06240000000000001	-0.0163839552	+022.600E-03
0.041600000000000026	-0.0177266942	+16.7150E-03
0.02080000000000004	-0.0191284346	+10.6760E-03
0.0	-0.0204769617	+04.8630E-03
