	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL
0	1744823230.2311687	0.736253591	0.001	0.0	3.2826130460033136	0.006256431509596372	0.007564800000000001	0	600
1	1744823230.45553	0.736500721	0.001	0.006	3.28368343689017	0.006257521921566926	0.007514199999999999	0	600
2	1744823230.8562815	0.736656197	0.001	0.0121	3.2843568480240872	0.006258208018626004	0.0075214	0	600
3	1744823231.259485	0.736803894	0.001	0.0181	3.284996566078618	0.006258859852337084	0.0075457	0	600
4	1744823231.660255	0.736981643	0.001	0.0241	3.285766447961626	0.0062596443982930496	0.007568500000000001	0	600
5	1744823232.0626729	0.737232985	0.001	0.0302	3.286855082228143	0.006260753923082889	0.0075983	0	600
6	1744823232.4671812	0.737609825	0.001	0.0362	3.288487284315316	0.006262417786863137	0.0076071	0	600
7	1744823232.8690095	0.737781917	0.001	0.0422	3.289232664109355	0.006263177761360572	0.0076334	0	600
8	1744823233.2710526	0.737865994	0.001	0.0483	3.289596825702825	0.00626354908424879	0.0076393	0	600
9	1744823233.6758208	0.738034794	0.001	0.0543	3.290327946900986	0.006264294644339352	0.007636799999999999	0	600
10	1744823234.0758183	0.738334577	0.001	0.0603	3.291626393027456	0.006265618935027632	0.0076379	0	600
11	1744823234.4791305	0.738737653	0.001	0.0664	3.2933722307529876	0.00626739992860309	0.007640400000000001	0	600
12	1744823234.8806753	0.738810517	0.001	0.0724	3.2936878256284774	0.006267721928305249	0.0076542	0	600
13	1744823235.2835047	0.73910955	0.001	0.0784	3.2949830232899084	0.006269043570618055	0.0076534	0	600
14	1744823235.6874223	0.739207917	0.001	0.0845	3.295409078970592	0.006269478381258189	0.0076514	0	600
15	1744823236.088279	0.739481194	0.001	0.0905	3.2965927200112897	0.006270686490155184	0.0076462000000000006	0	600
16	1744823236.4928803	0.739926604	0.001	0.0965	3.2985219184287815	0.006272656026312589	0.0076685	0	600
17	1744823236.897089	0.740079065	0.001	0.1026	3.2991822707332408	0.006273330316291509	0.0076682	0	600
18	1744823237.2971606	0.740273758	0.001	0.1086	3.3000255419384152	0.006274191482514512	0.0076673	0	600
19	1744823237.698773	0.74047209	0.001	0.1146	3.30088457469596	0.006275068856107269	0.0076728000000000005	0	600
20	1744823238.1008117	0.740692262	0.001	0.1207	3.301838202755447	0.00627604297622427	0.0076714	0	600
21	1744823238.5069017	0.741124776	0.001	0.1267	3.3037115448994117	0.006277956976534736	0.0076727	0	600
22	1744823238.907102	0.74134622	0.001	0.1327	3.3046706823556047	0.006278937137186135	0.0076707	0	600
23	1744823239.3079658	0.741464601	0.001	0.1388	3.305183424408682	0.006279461175294719	0.0076633	0	600
24	1744823239.710653	0.741522482	0.001	0.1448	3.305434123615262	0.006279717412111765	0.0076854	0	600
25	1744823240.1154687	0.741805364	0.001	0.1508	3.3066593666648947	0.006280969856449211	0.007683	0	600
26	1744823240.5159504	0.742170138	0.001	0.1569	3.3082393074465166	0.006282585209411161	0.007689	0	600
27	1744823240.918786	0.742288617	0.001	0.1629	3.3087524739656926	0.00628310995931578	0.0076767	0	600
28	1744823241.3234942	0.742670767	0.001	0.1689	3.3104076751853433	0.0062848027944138515	0.0076962	0	600
29	1744823241.7227957	0.742761745	0.001	0.175	3.3108017269884606	0.006285205866855834	0.007679	0	600
30	1744823242.1271305	0.742822739	0.001	0.175	3.3110659094905968	0.006285476110198274	0.007704600000000001	0	600
31	1744823242.5288165	0.74283713	0.001	0.169	3.3111282410377694	0.006285539873288959	0.0076908	0	600
32	1744823242.9311483	0.742558387	0.001	0.1631	3.3099209251838664	0.0062843049342042245	0.0076971999999999995	0	600
33	1744823243.335162	0.742581706	0.001	0.1572	3.3100219264588655	0.006284408237910317	0.007683600000000001	0	600
34	1744823243.7363472	0.742394259	0.001	0.1513	3.309210039757257	0.006283577887128492	0.007688100000000001	0	600
35	1744823244.1385634	0.742293493	0.001	0.1453	3.308773593319734	0.006283131556239296	0.0076884	0	600
36	1744823244.542904	0.741856888	0.001	0.1394	3.306882531881803	0.006281198000631969	0.0076826	0	600
37	1744823244.9440613	0.741542641	0.001	0.1335	3.3055214380242295	0.006279806657420643	0.007678700000000001	0	600
38	1744823245.3467786	0.741569609	0.001	0.1275	3.3056382441644665	0.006279926048461257	0.007680299999999999	0	600
39	1744823245.7488976	0.74127973	0.001	0.1216	3.304382695101661	0.00627864282289499	0.0076822	0	600
40	1744823246.151232	0.741188513	0.001	0.1157	3.3039876081210178	0.006278239076416986	0.0076776	0	600
41	1744823246.5549743	0.740976763	0.001	0.1097	3.303070458158278	0.00627730191587246	0.0076916	0	600
42	1744823246.9595456	0.740543025	0.001	0.1038	3.3011918145193695	0.006275382682948657	0.007675799999999999	0	600
43	1744823247.3609624	0.740519031	0.001	0.0979	3.301087889625835	0.006275276528366358	0.0076905	0	600
