	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL
0	1744665515.2009523	0.712243556	0.001	0.0	3.178618700286048	0.006151345273201029	0.0161366	0	600
1	1744665515.525272	0.712455327	0.001	0.002	3.179535941205809	0.006152264634866235	0.0161259	0	600
2	1744665515.846045	0.712357541	0.001	0.004	3.1791124020027084	0.0061518400995112755	0.0161098	0	600
3	1744665516.2441373	0.712518518	0.001	0.007	3.1798096395448665	0.0061525389923473475	0.0162215	0	600
4	1744665516.6350439	0.712664044	0.001	0.009	3.18043995437593	0.0061531708711603916	0.016241099999999998	0	600
5	1744665517.0382364	0.712671998	0.001	0.011	3.1804744054304925	0.00615320540954622	0.0162641	0	600
6	1744665517.439784	0.712635806	0.001	0.013	3.18031764750156	0.006153048255793418	0.0162408	0	600
7	1744665517.8416781	0.712626	0.001	0.015	3.1802751749039935	0.006153005676632889	0.016231	0	600
8	1744665518.246259	0.712905648	0.001	0.017	3.1814864105723775	0.006154220065528597	0.016314500000000003	0	600
9	1744665518.6467066	0.713117299	0.001	0.02	3.182403131737732	0.006155139330601846	0.0163409	0	600
10	1744665519.050164	0.712987321	0.001	0.022	3.181840159752575	0.006154574780301078	0.016335499999999996	0	600
11	1744665519.4527373	0.713222622	0.001	0.024	3.182859315848833	0.00615559683113831	0.016325299999999997	0	600
12	1744665519.8544903	0.713505827	0.001	0.026	3.184085957904076	0.006156827179364597	0.016368099999999997	0	600
13	1744665520.258383	0.713693734	0.001	0.028	3.184899836997576	0.006157643651336852	0.0163564	0	600
14	1744665520.6601088	0.713785925	0.001	0.031	3.1852991426514836	0.006158044268131513	0.016352400000000003	0	600
15	1744665521.0621033	0.713712801	0.001	0.033	3.1849824216414464	0.00615772650504505	0.0163843	0	600
16	1744665521.466415	0.713981557	0.001	0.035	3.186146480934887	0.00615889447375422	0.016365399999999995	0	600
17	1744665521.8667958	0.714034974	0.001	0.037	3.186377845277554	0.006159126641111126	0.016400899999999996	0	600
18	1744665522.2706296	0.713929161	0.001	0.039	3.1859195388359605	0.006158666752362078	0.016376100000000005	0	600
19	1744665522.6713855	0.714016952	0.001	0.042	3.1862997868283047	0.006159048310775107	0.0163436	0	600
20	1744665523.0757778	0.714057572	0.001	0.044	3.1864757236948287	0.006159224861836483	0.016405	0	600
21	1744665523.4779255	0.714166074	0.001	0.046	3.1869456769664093	0.006159696480141717	0.016382	0	600
22	1744665523.8798885	0.71434189	0.001	0.048	3.18770718647219	0.0061604607631127704	0.016366	0	600
23	1744665524.2822068	0.714369932	0.001	0.05	3.1878286444143633	0.006160582672039449	0.016378100000000003	0	600
24	1744665524.685419	0.714358376	0.001	0.052	3.1877785920650386	0.0061605324335536815	0.0163855	0	600
25	1744665525.087166	0.714369636	0.001	0.052	3.1878273623534943	0.006160581385205778	0.0164307	0	600
26	1744665525.4898927	0.714437011	0.001	0.05	3.1881191827961843	0.00616087429884435	0.0163563	0	600
27	1744665525.8957815	0.714351123	0.001	0.048	3.1877471772424664	0.0061605009021104065	0.0164169	0	600
28	1744665526.2959068	0.71439553	0.001	0.046	3.187939516691795	0.006160693958067658	0.016358400000000002	0	600
29	1744665526.6983254	0.714277362	0.001	0.044	3.1874276972027893	0.0061601802450878896	0.0163654	0	600
30	1744665527.1066427	0.714108868	0.001	0.042	3.1866979013783645	0.006159447822260292	0.0163586	0	600
31	1744665527.5024698	0.714136776	0.001	0.04	3.1868187789281173	0.006159569129003341	0.016384000000000003	0	600
32	1744665527.9061606	0.714124458	0.001	0.037	3.1867654261383134	0.006159515586486794	0.016378399999999998	0	600
33	1744665528.3078551	0.714251152	0.001	0.035	3.187314174177885	0.006160066307791915	0.0163825	0	600
34	1744665528.7096887	0.71403302	0.001	0.033	3.186369381943305	0.006159118148250679	0.0163552	0	600
35	1744665529.1138024	0.713916045	0.001	0.031	3.185862729679355	0.006158609749427017	0.016360599999999996	0	600
36	1744665529.5147552	0.713894033	0.001	0.029	3.185767389396097	0.006158514085101843	0.0163499	0	600
37	1744665529.9178636	0.713825895	0.001	0.027	3.1854722641816404	0.006158217966095964	0.016362599999999998	0	600
38	1744665530.3216016	0.713705117	0.001	0.025	3.184949140034298	0.006157693114872827	0.016368	0	600
39	1744665530.7228577	0.713501819	0.001	0.022	3.1840685981069066	0.006156809765424702	0.016386099999999997	0	600
40	1744665531.1256335	0.713596361	0.001	0.02	3.1844780866158904	0.006157220544007606	0.016328299999999997	0	600
41	1744665531.5277429	0.713423979	0.001	0.018	3.1837314507487027	0.006156471576183448	0.0163577	0	600
42	1744665531.9300296	0.713475745	0.001	0.016	3.1839556641369966	0.0061566964804155855	0.016329	0	600
43	1744665532.3332567	0.713161636	0.001	0.014	3.1825951679969906	0.0061553319169360705	0.0162869	0	600
44	1744665532.738097	0.713084789	0.001	0.012	3.182262321606499	0.00615499812090907	0.016274200000000003	0	600
45	1744665533.1385894	0.713155203	0.001	0.01	3.1825673048295275	0.006155303973587559	0.0162643	0	600
46	1744665533.542046	0.71304238	0.001	0.007	3.1820786360680344	0.00615481391895338	0.016323499999999998	0	600
47	1744665533.9424493	0.71304262	0.001	0.005	3.182079675576847	0.006154814961369375	0.016244	0	600
48	1744665534.3455935	0.71284138	0.001	0.003	3.181208047437523	0.006153940956770995	0.0161532	0	600
49	1744665534.7481298	0.712629512	0.001	0.001	3.180290386382951	0.00615302092624369	0.0161493	0	600
50	1744665535.1504989	0.71275172	0.001	-0.001	3.1808197042703013	0.006153551594281071	0.0161515	0	600
51	1744665535.5556705	0.712654022	0.001	-0.003	3.1803965462204324	0.006153127353240756	0.016094400000000002	0	600
52	1744665535.9591894	0.712399182	0.001	-0.005	3.1792927611129724	0.006152020879278524	0.015961000000000003	0	600
53	1744665536.3598635	0.712232118	0.001	-0.007	3.178569159028556	0.0061512956212687025	0.0159726	0	600
54	1744665536.762187	0.712118602	0.001	-0.01	3.178077488685367	0.00615080287403836	0.0159764	0	600
55	1744665537.1625845	0.712245783	0.001	-0.012	3.1786283460615707	0.006151354940571274	0.0159713	0	600
56	1744665537.5654247	0.712237854	0.001	-0.014	3.178594003289176	0.006151320520981659	0.015973300000000003	0	600
57	1744665537.9695587	0.711955125	0.001	-0.016	3.1773694229264113	0.006150093326083611	0.015013300000000002	0	600
58	1744665538.370028	0.711832805	0.001	-0.018	3.1768396199349485	0.006149562467071687	0.015024399999999999	0	600
59	1744665538.77317	0.712010059	0.001	-0.02	3.177607357831031	0.006150331750016204	0.015087	0	600
60	1744665539.175446	0.711910751	0.001	-0.022	3.1771772264095444	0.006149900741228169	0.015059100000000002	0	600
61	1744665539.5787354	0.711524301	0.001	-0.025	3.175503400657002	0.0061482237860520875	0.0150173	0	600
62	1744665539.981718	0.711444015	0.001	-0.027	3.1751556589714838	0.006147875451091475	0.014970699999999998	0	600
63	1744665540.3827026	0.711441074	0.001	-0.029	3.1751429206572435	0.006147862691416257	0.014980299999999998	0	600
64	1744665540.7855184	0.71143028	0.001	-0.031	3.1750961687483987	0.006147815861333872	0.0149553	0	600
65	1744665541.190095	0.711522273	0.001	-0.033	3.175494616807536	0.006148214986975741	0.014949	0	600
66	1744665541.5904243	0.711280525	0.001	-0.035	3.1744475369058014	0.006147166181426698	0.014888900000000002	0	600
67	1744665541.9933722	0.711206548	0.001	-0.037	3.1741271213081927	0.006146845273235088	0.014895899999999998	0	600
68	1744665542.3958244	0.711162151	0.001	-0.04	3.173934825171731	0.006146652689453298	0.0149419	0	600
69	1744665542.797898	0.711138637	0.001	-0.042	3.1738329792958213	0.006146550693657543	0.0148783	0	600
70	1744665543.2015555	0.711028742	0.001	-0.044	3.173356992541841	0.006146074028513306	0.0149056	0	600
71	1744665543.6033945	0.710814158	0.001	-0.046	3.17242756771254	0.006145143384854749	0.014860499999999999	0	600
72	1744665544.005159	0.710690409	0.001	-0.048	3.171891575312355	0.006144606753212602	0.0148586	0	600
73	1744665544.409263	0.710679268	0.001	-0.05	3.171843320447019	0.006144558443082062	0.014876099999999998	0	600
74	1744665544.8108993	0.710618546	0.001	-0.052	3.1715803160548703	0.006144295144113089	0.014871599999999999	0	600
75	1744665545.2133489	0.710672653	0.001	-0.052	3.1718146689853732	0.006144529758985164	0.0148749	0	600
76	1744665545.6185343	0.710655226	0.001	-0.05	3.171739187651722	0.006144454192312176	0.014857500000000001	0	600
77	1744665546.0175586	0.710643614	0.001	-0.048	3.1716888927503413	0.006144403841060099	0.014863600000000001	0	600
78	1744665546.4231453	0.710668084	0.001	-0.046	3.1717948793363546	0.006144509946872588	0.0148498	0	600
79	1744665546.826136	0.710890834	0.001	-0.044	3.1727596734530024	0.006145475910039525	0.014895799999999997	0	600
80	1744665547.2251918	0.711091002	0.001	-0.042	3.1736266584529633	0.006146344074253979	0.01489	0	600
81	1744665547.6294417	0.710969406	0.001	-0.04	3.173099991313085	0.006145816676257335	0.0149374	0	600
